ImageId,Label
1,3
2,1
3,5
4,8
5,3
6,10
7,1
8,4
9,1
10,4
11,6
12,8
13,5
14,1
15,5
16,4
17,1
18,2
19,10
20,1
21,10
22,2
23,5
24,1
25,8
26,5
27,3
28,8
29,5
30,8
31,8
32,3
33,5
34,3
35,7
36,9
37,1
38,6
39,5
40,1
41,8
42,8
43,5
44,8
45,9
46,8
47,9
48,4
49,7
50,2
51,7
52,6
53,2
54,4
55,9
56,3
57,2
58,9
59,2
60,1
61,5
62,5
63,8
64,1
65,1
66,1
67,2
68,10
69,1
70,10
71,7
72,1
73,6
74,9
75,3
76,9
77,9
78,10
79,3
80,9
81,6
82,7
83,2
84,1
85,10
86,2
87,5
88,3
89,7
90,8
91,2
92,1
93,7
94,7
95,10
96,8
97,6
98,10
99,5
100,5
101,6
102,6
103,3
104,1
105,5
106,1
107,1
108,6
109,1
110,10
111,1
112,1
113,7
114,5
115,2
116,8
117,2
118,2
119,6
120,9
121,4
122,8
123,8
124,9
125,10
126,4
127,9
128,8
129,5
130,5
131,5
132,6
133,7
134,1
135,1
136,1
137,4
138,2
139,6
140,1
141,5
142,4
143,5
144,8
145,8
146,9
147,8
148,5
149,2
150,1
151,5
152,3
153,8
154,10
155,6
156,3
157,8
158,10
159,8
160,9
161,4
162,6
163,10
164,1
165,2
166,9
167,8
168,7
169,5
170,1
171,4
172,8
173,10
174,7
175,2
176,3
177,8
178,2
179,2
180,3
181,5
182,9
183,9
184,3
185,5
186,10
187,3
188,2
189,10
190,1
191,7
192,5
193,5
194,3
195,7
196,1
197,5
198,8
199,1
200,10
201,2
202,10
203,1
204,9
205,10
206,1
207,9
208,5
209,7
210,3
211,1
212,10
213,4
214,7
215,10
216,3
217,2
218,7
219,9
220,5
221,7
222,3
223,2
224,6
225,7
226,9
227,5
228,7
229,9
230,1
231,1
232,7
233,10
234,9
235,8
236,1
237,3
238,1
239,9
240,7
241,6
242,7
243,3
244,9
245,6
246,6
247,10
248,9
249,4
250,1
251,5
252,8
253,2
254,1
255,9
256,5
257,4
258,2
259,5
260,6
261,7
262,1
263,9
264,8
265,8
266,1
267,7
268,9
269,5
270,2
271,7
272,1
273,7
274,4
275,3
276,5
277,2
278,8
279,9
280,5
281,1
282,8
283,3
284,1
285,6
286,4
287,8
288,9
289,10
290,10
291,6
292,8
293,8
294,10
295,8
296,7
297,9
298,1
299,4
300,4
301,7
302,10
303,9
304,3
305,4
306,9
307,5
308,9
309,5
310,6
311,9
312,8
313,5
314,10
315,1
316,6
317,9
318,2
319,4
320,9
321,3
322,2
323,9
324,10
325,9
326,5
327,10
328,2
329,4
330,8
331,5
332,4
333,2
334,4
335,6
336,10
337,1
338,9
339,7
340,6
341,6
342,8
343,2
344,7
345,9
346,1
347,7
348,8
349,3
350,9
351,3
352,8
353,8
354,3
355,8
356,9
357,10
358,5
359,7
360,10
361,9
362,7
363,8
364,9
365,5
366,7
367,4
368,9
369,2
370,3
371,5
372,6
373,8
374,10
375,8
376,9
377,8
378,10
379,4
380,8
381,7
382,6
383,10
384,10
385,3
386,5
387,3
388,2
389,3
390,8
391,2
392,8
393,5
394,10
395,7
396,2
397,2
398,2
399,8
400,1
401,10
402,8
403,7
404,2
405,2
406,2
407,3
408,4
409,1
410,10
411,6
412,1
413,5
414,9
415,9
416,10
417,2
418,2
419,1
420,5
421,10
422,9
423,7
424,3
425,1
426,2
427,5
428,8
429,10
430,8
431,5
432,9
433,6
434,7
435,3
436,2
437,4
438,10
439,10
440,1
441,9
442,5
443,8
444,5
445,4
446,5
447,2
448,6
449,4
450,10
451,6
452,8
453,7
454,10
455,4
456,10
457,3
458,4
459,2
460,9
461,9
462,8
